title,objectid,display_template,image_small,creator,subject,isbn_id,Language,publisher,location,year_published,Edition,tags,bobcat_permalink,worldcat_permalink
"The Kingdom of Quito, 1690-1830: The state and regional development",as001,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/SCtY6HOCHdYT2KdA6kgdNA/o1C4TuB8EDWQ7O6Ty4-V7jW1-NJdU5OeQbUFToCyG-hYtaWaqTTDSB9GqLDYOh4yd5Zxv1mMIzUhs_rySM7i7w/ZwjXQFJyT-9xRLdduyNKdXCmoLePZzP0u6LckwbzVwI,"Andrien, Kenneth J.",Andean Studies,9780521481250,eng,Cambridge University Press,United States,1995,1,History -- Ecuador,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004958870,https://worldcat.org/en/title/1150088725
Bolivia: Refounding the Nation,as002,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/W-wfreQVjH6l_YGNjgztEQ/hhbgOyBeZkU1S9Rhdt4gLEyNHNltnId5sVWYXRTEUkvQZMfd9UE_xwmji0KQTGi8tWUziMJ-JwnlAxLo9zNJpQ/IYrnDtk-IkJaIg2sezZV_hDlo7Kx2M1WF7X9ezbVLu0,"Artaraz, Kepa
",Andean Studies,978-0-7453-3089-1,eng,Pluto Press,UK,2012,1,Government Relations,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph005781794,https://worldcat.org/en/title/804845771
Our House in the Clouds: Building a Second Life in the Andes of Ecuador,as003,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/1oKP67_-QQgTAjHZ_6QnQA/n2uOKgxFSxAT4waNZvsvV3TRMkgg7FisECQiZ_K3BaOhhPnGX8FQ_y8C4SA0S6n-A4XhurlkK_5zIBQD2OaHyQ/GOANUKa0AQ21UaHv3IWfKLA2WhrvtYRTKZms3UiNDJQ,"Blankenship, Judy",Andean Studies,978-0-292-73903-1,eng,University of Texas Press,United States,2013,1,History -- Ecuador,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004109152,https://worldcat.org/en/title/846990269
"Esquinas, Rincones, Pasadizos: Bosquejos sobre juventud peruana",as004,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/CBmNGjWfTfiA5--v-yduxQ/mTHprWNkQ6ree3cXK-NPI7b3Bt46QFiFEdxbBHBUc16xuuOSfm8DJhfk53FADG-738bIBVVqdbz876bLk6TfLg/0V8bbABernqEQ2k_Ho8ETdUEcDdg5Cwjtvok5189L5Q,"Cánepa, María Angela",Andean Studies,,spa,Instituto Bartolomé de Las Casas ~Rimac ,Peru,1993,1,Youth Studies,,https://worldcat.org/en/title/30781995
Bi-Centenarios Naturales: Historias de quinas y vicuñas ,as005,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/Gp_IF8BCj1JmwsZNw-v5Kw/byWiIgm6BUFjV86vz_Alr3Jg2TiKxYG1DyllvguAc5pmNFYujOa3CziCGICUG1dR3AigtxD7kZcQTv5Bz_TRWw/XNsCnhnndyb-t8t9OGkL93MMFzJSIf090w63lvRnAKM,"Epiquién, Mirbel",Andean Studies,9786125036490,spa,"CBC, Centro Bartolomé de las Casas",Peru,2021,1,Ecological / Agricultural,,
La Ley Del Ayllu ,as006,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/6Jn1ApHMBaehsmG-82BI9g/pi_k1aU7xVC6WIJdQ0ZcsH1lEV-IxsdAqGd7PsCz7C5KeNYxiUlMgoYpdYf_fE52lJbdvQMOYd2_GUtdssu4OA/WQ4eR_Jt86ergrIYebwWiDqNhrkwQjPOqPalq2LQ-aE,"Fernández O., Marcelo
",Andean Studies,99905-0-049-5,"que,spa",Fundacion Pieb ,Bolivia,2000,9,Indigenous Rights,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000758225,https://www.worldcat.org/title/46483149
Descentralización andina,as007,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/ZS0_2KzGUrldKNUYyBzS3A/AjXNRRzOXFVyuFai5CU58zQh3XL4x3YMKRHHSAXTZwoLm9ZP--FlxKoorbXwTDzPN3ZBwmB6-6vlldTCk6T46w/oM6V-D2TYQ3oyaMsqxen6Mx6OjVmF4j_UuiHOwcaSVw,"Franky, Pablo
",Andean Studies,958-683-323-2,spa,Pontificia Universidad Javeriana,Colombia,2000,19,Political Science,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000730560,https://www.worldcat.org/title/47865583
Democracia Estado Nación ,as008,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/qb5yEefjGkMyANDmvnx_ZQ/iw9LxiMfeyGV3icnbc7rLf0z-r4NCxp1xP6dHclaa3RCrq3R-TIefapROZNT2ytH_OTCNKiUJrBUMBeb0adOEQ/LV66fHzHdFBy3ocRnX5aAm9pZDQ5O4Nzwsn68uTFR4E,"García Linera, Álvaro
",Andean Studies,9789807364355,spa,Vicepresidencia del Estado,Bolivia,2014,1,Political Science -- Bolivia,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004321059,https://worldcat.org/en/title/911184088
Elegía Apu Inka Atawallpaman: Primer Documento De La Resistencia Inka,as009,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/s_kifJSEjdrcPEQUyym3vQ/uygy_5Ey4_XX6eBotv_kmxSMXW4xqNi593jCpcM5XVL58P0PFzUV4U28stE0E7PRoblmB6CHZm1yuibgcNQKAw/PX8xA4pEGNbdSCCSVLGMPx43IHr0nnzbCiIjdTl91pE,"Gonzales, Odi",Andean Studies,978-612-46607-1-9,"spa,que",Pakarina Ediciones,Peru,2014,1a,Government Relations,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004017536,https://worldcat.org/en/title/882496521
Rhythms of the Pachakuti: Indigenous Uprising and State Power in Bolivia,as010,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/zcIr-ZP1dXDDkik15_M8SA/DmnYN82JEDZeVoee7ftBAtqkLf-V1Mi150lXkVhX3falWKMMjBLFPDZLhAVLnAmOKu4FzxINyagNylwzjPQrrA/H98fpvWVDHqjx48KDesLATHRbz3RwFC62eOehJWbaI0,"Gutiérrez Aguilar, Raquel",Andean Studies,978-0-8223-5604-2,eng,Duke University Press ,United States,2014,1,Government Relations,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph004491726,https://worldcat.org/en/title/869460433
Justicia hídrica : una mirada desde América Latina ,as011,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/7v0RuhC15l5TRgRqm-1FIQ/_wD12EM598JBwC-s61nngHsCCoySH6rB1sVICfFXjbARdxBfEK2genC_Tz7cGetV7syNwof63KE0f9Lb_tb4Pw/R2U2uotsC6b0V-ZzR75_q2eFNNeqpCUTaG6_NV6NITM,"Guzmán León, Alicia ",Andean Studies,9786124121395,spa,Centro de Estudios Regionales Andinos Bartolomé de las Casas,Peru,2021,1,Ecological / Agricultural,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph009392999,https://worldcat.org/en/title/1304515465
Agroecologiá Altoandina: Realidad y Posibilidades,as012,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/sSWMFFLdtFjVhTUztYUp_Q/rbb_5JKEJ62XM3QefK47u1GGk8uypJz6PA4U-7T3VDpwdKtW0-K63CqeoxBpeRsXkChRF-WJArasLc9TiqS-Qw/YQRNIFeOn9sud73WME03fBgGvBbWVZ5gB4lmj6f2GYc,"Herz Zacarías, Carlos Aarón ",Andean Studies,9786124121364,spa,"CBC, Centro Bartolomé de las Casas",Peru,2021,1,Ecological / Agricultural,,https://www.worldcat.org/title/1303286565
Guía basica de prácticas agroecológicas para pisos andinos de 2000 a 4000 msnm ,as013,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/99e9NeFFQtlL8S6xIlh8mA/rxomVg-j72fpYSOvDP_hJ5A71LPagiy3TcfJ-dKDXfuUNK1RC_ocbDieX_Ik4b9Y4Zb6_vJaIV3ZRwKncTqgdw/nj5i8GHdGgKO3PmbKRTaLkdcChTYGRVVtAeVtIJcNaY,"Kolmans, Enrique; Silva, Allesandra; Huamán, Anthony",Andean Studies,978-612-4121-49-4,spa,Centro de Estudios Regionales Andinos Bartolomé de Las Casas,Peru,2022,1,Ecological / Agricultural,,
Acting Inca: National Belonging in Early Twentieth-Century Bolivia,as014,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/OmQkAxpq7TQz4sVdiP0_aw/C1-417tUm07BjHsYD03wlSxhDqmLkwQMnH5pYo90tl8E6qFrhnGTb44g9DBhrbxgCaSgvLYLWA65XVEozMqHIQ/HgGNPB7AeHlu5AQFQv2qFzS_15fecoh44TKMurHXyxE,"Kuenzli, E. Gabrielle",Andean Studies,978-0-8229-6232-8,eng,University of Pittsburgh Press,United States,2013,1,Political Science -- Bolivia,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph007609511,https://worldcat.org/en/title/828776013
The Corner of the Living: Ayacucho on the Eve of the Shining Path Insurgency,as015,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/bGbcabdMpd3bbG9c67Kyww/5YeW2uAGsBpzg-ldBLAWtREShB5_0Ok2vhxFa0o7KVOyPNg1fOriGSv9w-xA_xktjhzqtzjwxBK8ichBmnCJjw/jfBkdvE30GwwjstY6wjDqaxm-wqtVkgrnSSDV3BU3kc,"La Serna, Miguel",Andean Studies,978-0-8078-3547-0,eng,University of North Carolina Press,United States,2012,1,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004286969,https://worldcat.org/en/title/772844957
Qhapaq Ñan: The Inka Path of Wisdom,as016,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/AvKpaKHUym_eoldZQqAvVQ/9roMZVOoyO1XAS8MFt_SUbAaKL3DsN1VUGXXAz_KIpRXY46jnVLKKF_XjvgjymIktDKiQNx0EDUvQRHJANLzrA/zt5Z9mhZBDUskYyC983p3dPBY8hqAcs40UQqSgVUTM4,"Lajo, Javier ",Andean Studies,,eng,Amaro Runa Ediciones,Peru,2006,2,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000480697,https://www.worldcat.org/title/85888948
"El Alto, Rebel City: Self and Citizenship in Andean Bolivia",as017,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/m3TJBSL0V42AnkLYLLT5sA/fS3SusSrNYyRfQHTf6JSxYT54W9kroYoqt8sirY6vT_lYYwkfc6VFqxOeZuunHsXxTiqPn0G2seUri0XRR5rWg/UN3c1rMXcW23W8hKox6cIkEDFytwaFyf0E3Hhvh6sak,"Lazar, Sian",Andean Studies,9780822388760,eng,Duke University Press ,"Durham + London, United States; United Kingdom",2008,1,History -- Bolivia,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004492793,https://www.worldcat.org/title/191855691
El Peru y La Cultura Occidental ,as018,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/1lYH-HajDzNeZUvs2oPGKA/7OrSKepg8-2wZvm7qKufSx0c6kqCH_kSv2-LKHHPWMcV08w8lMIn9R7hWc0Q1TVjnRk0qyI7q1dumFuPLXvrlg/S8HC5yNZXLjhsjRY7anznS1x5jbXNwkAV2GH1zosUHA,"Lizarraga, Jesus Veliz",Andean Studies,,spa,Instituto de Investigaciones Sociales del Perú,Peru,1993,2,Anthropology -- Peru,,https://www.worldcat.org/title/7657327
"On the Wings of Time: Rome, the Incas, Spain, and Peru",as019,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/vbZ5Dv2AJgScXwPqHL8pnw/JFwh7r3g5Abb01uLjhQLYxoHMiAYDYBnoNLtbYjyZra0oCehBSOJnix5nSwxE52k6UmQDNk_wBpmG9QLswgqVw/FiAFODuHblyyLeFmflTc-seRfojlP_jFDgXn3FVEnt8,"MacCormack, Sabine",Andean Studies,978-0-691-14095-7,eng,Princeton University Press,United States,2009,1,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph005828526,https://www.worldcat.org/title/1273307460
Walaycho Qorilazo: Memoria Oral Quechua en Los Andes,as020,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/iIcZwcviqewTNOM_0EkATw/x-V4ko1KM2z6SsO7sIkq74PRcMMKBDsGheMA0U6neTk6VgCTmQkeulDLx6NUdrJhQIA8fUaJeiBKC-QLCY1cLw/8HH5h8c1A4kvByDAddyG3xyeI2jrkIhqU1HDNX7XRpI,"Molina Almanza, Mario
",Andean Studies,978-612-4297-25-0,"spa,que",Pakarina Ediciones,Peru,2017,1,History -- Peru,,https://www.worldcat.org/title/1023512728
Dinámica politico-económica de los países andinos,as021,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/lToNdFbPbS1OoC91FuUIXA/zXzbFs65IRNG9TcDP3QLN0AawbB4L2q3MuIUGp734ttWvk1bsEzyt9mh7quJdnEKxkvOuE6TBGNEJputDtILWA/K0eq5F9qS17C1ZJvz4jg0thXQGT2E56RK8YhhE8Pi8o,"Murakami, Yusuke, ed. ",Andean Studies,978-9972-51-336-7,spa,"Center for Integrated Area Studies, Kyoto University",Japan,2012,34,Political science -- Peru,,https://www.worldcat.org/title/905604647
La actualidad política de los países andinos centrales en el gobierno de izquierda,as022,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/wlnVb-Dinub3Ta6I8ZWy2w/fuXOpLa1iBiZQx8Hf6aW0jBS4m06W52-CMdHbSngxk7JZxSEpxb9J-CCip6K4BK-_GWGr8QZKeygB7Il7-wPUw/bSrNiUO7XTRdt4VLcMv4C_-34hmNlCgbo8mLstSQWNA,"Murakami, Yusuke, ed. ",Andean Studies,978-9972-51-472-2,spa,"Center for Integrated Area Studies, Kyoto University",Japan,2014,39,Political science -- Peru,,https://www.worldcat.org/title/904253572
Creadores de la profundidad: Orígenes del movimiento obrero en las minas de los Andes peruanos (1928-1930) ,as023,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/7A4lq3yLjyorPUnogrU_9g/3hEbWM0MrLNPB3RcJjKO_SAWVBj4l17F1u8_JbS01mB_AC-9xqwmT0PwPglY_fyeFB7qlM9K68Xu2NfeA-aEiA/9ibbPiRhhihhM_7SDyhkJkZgYXAlKsJHuKLKdMDR2No,"Pajuelo Teves, Ramón",Andean Studies,978-612-4121-52-4,spa,"CBC, Centro Bartolomé de las Casas ",Peru,2022,1,History -- Peru,,
"Por la concordia, la fusión y el unitarismo: Estado y caudillismo en Bolivia (1852-1880)",as024,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/T5-SBwHZ0U6HqcDckhmPKw/UP7sAB_lEEhMwlXenHbzMlv7kFGXn6mL71TqyVLOpoOxR6g8sJh50rJHe5qaEPMZxK3hmTHNVVwT7oWHqpg5RQ/jDjr4lz5ywsHG0udWro-f-L16H9mgeFJybwKnrbxjCw,"Peralta Ruiz, Víctor; Irurozqui Victoriano, Marta",Andean Studies,84-00-07868-3,spa,Consejo Superior de Investigaciones Cientificas,Spain,2000,1,History -- Bolivia,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph001720216,https://www.worldcat.org/title/45345494
The Disappearing Mestizo: Configuring Difference in the Colonial New Kingdom of Granada,as025,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/fZwJt4IoBKfAovbvHlTBog/-lV_1VJRYR6-2yfrNdJ73nj6MDwlWST10qM5UkMOUbZrqmZwLB7J77074HKFgc6DrddjPBJmUndpgSX8TRv-2Q/s4fLF-6UqMCgBF2QKdzPg4DIyQfQHhuZVbwtJUNylT8,"Rappaport, Joanne",Andean Studies,978-0-8223-5629-5,eng,Duke University Press ,United States,2014,1,"History -- Colombia,Pan-andean",https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph007523590,https://www.worldcat.org/title/847833686
Tawantinsuyu. Cinco Siglos de Guerra Qheswaymara Contra España. ,as026,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/KZlWYh5ccfG6j3Zpf068iQ/ypSlikPqS7650gktsoCdHswJJgrSbLdpDBbcSB4QHsXT7QkDhW3snCg672M0I09oSw3QrurE1wIgOXT0BFKXOg/TwN0MObVnpBEGPN3ROYdnE3yw9LuCbQxbBJrD_Rmd0w,"Reynaga Burgoa, Ramiro
",Andean Studies,968-429-178-7,"spa,que",Nueva Imagen,Mexico,1981,1,History -- Peru,,https://worldcat.org/en/title/8545711
Historia De Tahuantinsuyu,as027,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/V1KBm6Re9pZvUM7BACJWAQ/k7jVYHDxEsAuPjcMT1VPb20TLHeQrpfNVsHOSHImTBA2TOAZHZlUSTiMatnZmIAWjxIkJ3hRox84Q7h0O9sIXg/p8g4eNjYCAT2WOyh3X6xsOEaxXHqNFo14kG6eyIwtNg,"Rostworowski De Diez Canesco, Maria",Andean Studies,9789972510298,spa,Camara Peruana Del Libro,Peru,2004,1,History -- Precolombian Peru,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph005014327,https://worldcat.org/en/title/45023268
Conversando nos entendemos: métodos de la investigación-acción Participative apara transformar y reencantar la realidad ,as028,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/iIT6sXkFmRJi5oL-QknqhQ/FxGgiIZzs4Kqb8UJ0IwtmiQ2xEHjQYSZzT6vB-fDWCa8SwQ7JVYIQBpwlW9QzcN4icRBCKA7wwezH9a-6WW90g/EPbaGe-XlG8sM4Sp1_stnof7mnMxUxqB56d_qpGygTY,"Salas, María Angélica; Tillmann, Timmi
",Andean Studies,9786124121449,spa,"CBC, Centro Bartolomé de Las Casas",Peru,2022,1,Indigenous Politcs,,https://www.worldcat.org/title/1366106780
"Between Reform and Revolution: Political Struggles in the Peruvian Andes, 1969-1991 ",as029,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/LIuLdrUSTWfuzvpWhnSYBQ/EbKo1OTE4UANa6k6PeTpNzMG3uuUVBV9dzxs0UC6KUOmMOxcW9ZEmIcRjsIAAffg_47-O4YQcAp6zeCuND4AKA/Y5-mDzADEuXgjdAppSh1Ib93vq0g3NMLimy2ZM1nrM8,"Seligmann, Linda J.",Andean Studies,9780804724432,eng,Stanford University Press,United States,1995,1,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph001282116,https://www.worldcat.org/title/31077550
Hasta Cuando Tu Silencio?: Testimonios De Dolor Y Coraje,as030,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/CznNvDoJoKj2-4qeeKzD1w/vQXzacGKjBUGbtA0W8clZFGUwt4c9syrcs_KjmkYW5fDBGFM56sz1DBcn9z0tI7vC897mQrlOW6hQUAHWfP4tg/l7LKP5f-uPCpdOuT5rpiM9CppGuMyINyigMxB0Oyihk,"Soto Quispe, Heeder
",Andean Studies,9786034512306,spa,"Asociacion Nacional De Familiares De Secuestrados, Detenidos y Desaparecidos del Perú ",Peru,2007,1,History -- Peru,,https://worldcat.org/en/title/268676507
