objectid,object_location,image_small,image_thumb,display_template,title,creator,subject,identifier,Language,publisher,location,date,Edition,tags,bobcat_permalink,worldcat_permalink
al001,/objects/al001.jpg,/objects/small/al001_sm.jpg,/objects/thumbs/al001_th.jpg,item,Las negras noches del dolor & para educar hombrecitos,"Campos Dávila, José ""Cheche"" ",Afro Latino Studies,9972-34-012-0,spa,Biblioteca de Narrative Peruana Contemporánea,Peru,2004,1,Afrolatino Studies -- Peru,,https://worldcat.org/en/title/57431017
al002,/objects/al002.png,/objects/small/al002_sm.png,/objects/thumbs/al002_th.png,item,La Raza Triste,"García, Ludín B Fonseca",Afro Latino Studies,978-959-223-268-6,spa,Ediciones Bayamo,Cuba,2016,,"History -- Cuba,Afrolatino Studies -- Peru",,https://worldcat.org/en/title/1065121299
al003,/objects/al003.jpg,/objects/small/al003_sm.jpg,/objects/thumbs/al003_th.jpg,item,"Bound Lives: Africans, Indians, and the Making of Race in Colonial Peru","O'Toole, Rachel Sarah",Afro Latino Studies,978-0-8229-6193-2,eng,University of Pittsburgh Press,United States,2012,1,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph007609428,https://worldcat.org/en/title/809317648
art001,/objects/art001.jpg,/objects/small/art001_sm.jpg,/objects/thumbs/art001_th.jpg,item,Los Andes Ecuatorianos,"Albán, Verónica",Art + Photography Books,,"spa,eng",Macalban Editores; Talleres de CROMOS,Ecuador,1976,1,"Photography,History -- Bolivia",,https://worldcat.org/en/title/4644575
art002,/objects/art002.png,/objects/small/art002_sm.png,/objects/thumbs/art002_th.png,item,Pawqarkuna,"Arones, Darinka",Art + Photography Books,,que,,United States,2023,1,Photography,,
art003,/objects/art003.jpg,/objects/small/art003_sm.jpg,/objects/thumbs/art003_th.jpg,item,"Ana De Orbegoso, Memoria [en] femenino","Del Valle Cárdenas, Augusto",Art + Photography Books,978-612-5062-10-9,spa,Instituto Cultural Peruano Norteamericano,Peru,2022,1,Photography,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph009423584,https://worldcat.org/en/title/1371685651
art004,/objects/art004.jpg,/objects/small/art004_sm.jpg,/objects/thumbs/art004_th.jpg,item,Warisata en Imágenes: El derecho a la educación desde la experiencia de la Escuela Ayllu,"Resino, Ana Carretero",Art + Photography Books,,"spa,eng",Campaña Boliviana por el Derecho a la Educación,Bolivia,2017,1,Photography,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph002114278,https://worldcat.org/en/title/28513802
art005,/objects/art005.jpg,/objects/small/art005_sm.jpg,/objects/thumbs/art005_th.jpg,item,"Carrying Coca: 1,500 Years of Andean Chuspas","Sharratt, Nicola ",Art + Photography Books,9780300200720,eng,Bard Graduate Center,United States,2014,1,Photography,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph003992569,https://worldcat.org/en/title/862098422
as001,/objects/as001.jpg,/objects/small/as001_sm.jpg,/objects/thumbs/as001_th.jpg,item,"The Kingdom of Quito, 1690-1830: The state and regional development","Andrien, Kenneth J.",Andean Studies,9780521481250,eng,Cambridge University Press,United States,1995,1,History -- Ecuador,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004958870,https://worldcat.org/en/title/1150088725
as002,/objects/as002.jpg,/objects/small/as002_sm.jpg,/objects/thumbs/as002_th.jpg,item,Bolivia: Refounding the Nation,"Artaraz, Kepa
",Andean Studies,978-0-7453-3089-1,eng,Pluto Press,UK,2012,1,Government Relations,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph005781794,https://worldcat.org/en/title/804845771
as003,/objects/as003.jpg,/objects/small/as003_sm.jpg,/objects/thumbs/as003_th.jpg,item,Our House in the Clouds: Building a Second Life in the Andes of Ecuador,"Blankenship, Judy",Andean Studies,978-0-292-73903-1,eng,University of Texas Press,United States,2013,1,History -- Ecuador,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004109152,https://worldcat.org/en/title/846990269
as004,/objects/as004.jpg,/objects/small/as004_sm.jpg,/objects/thumbs/as004_th.jpg,item,"Esquinas, Rincones, Pasadizos: Bosquejos sobre juventud peruana","Cánepa, María Angela",Andean Studies,,spa,Instituto Bartolomé de Las Casas ~Rimac,Peru,1993,1,Youth Studies,,https://worldcat.org/en/title/30781995
as005,/objects/as005.png,/objects/small/as005_sm.png,/objects/thumbs/as005_th.png,item,Bi-Centenarios Naturales: Historias de quinas y vicuñas,"Epiquién, Mirbel",Andean Studies,9786125036490,spa,"CBC, Centro Bartolomé de las Casas",Peru,2021,1,Ecological / Agricultural,,
as006,/objects/as006.jpg,/objects/small/as006_sm.jpg,/objects/thumbs/as006_th.jpg,item,La Ley Del Ayllu,"Fernández O., Marcelo
",Andean Studies,99905-0-049-5,"que,spa",Fundacion Pieb,Bolivia,2000,9,Indigenous Rights,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000758225,https://www.worldcat.org/title/46483149
as007,/objects/as007.jpg,/objects/small/as007_sm.jpg,/objects/thumbs/as007_th.jpg,item,Descentralización andina,"Franky, Pablo
",Andean Studies,958-683-323-2,spa,Pontificia Universidad Javeriana,Colombia,2000,19,Political Science,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000730560,https://www.worldcat.org/title/47865583
as008,/objects/as008.jpg,/objects/small/as008_sm.jpg,/objects/thumbs/as008_th.jpg,item,Democracia Estado Nación,"García Linera, Álvaro
",Andean Studies,9789807364355,spa,Vicepresidencia del Estado,Bolivia,2014,1,Political Science -- Bolivia,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004321059,https://worldcat.org/en/title/911184088
as009,/objects/as009.jpg,/objects/small/as009_sm.jpg,/objects/thumbs/as009_th.jpg,item,Elegía Apu Inka Atawallpaman: Primer Documento De La Resistencia Inka,"Gonzales, Odi",Andean Studies,978-612-46607-1-9,"spa,que",Pakarina Ediciones,Peru,2014,1a,Government Relations,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004017536,https://worldcat.org/en/title/882496521
as010,/objects/as010.jpg,/objects/small/as010_sm.jpg,/objects/thumbs/as010_th.jpg,item,Rhythms of the Pachakuti: Indigenous Uprising and State Power in Bolivia,"Gutiérrez Aguilar, Raquel",Andean Studies,978-0-8223-5604-2,eng,Duke University Press,United States,2014,1,Government Relations,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph004491726,https://worldcat.org/en/title/869460433
as011,/objects/as011.png,/objects/small/as011_sm.png,/objects/thumbs/as011_th.png,item,Justicia hídrica : una mirada desde América Latina,"Guzmán León, Alicia ",Andean Studies,9786124121395,spa,Centro de Estudios Regionales Andinos Bartolomé de las Casas,Peru,2021,1,Ecological / Agricultural,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph009392999,https://worldcat.org/en/title/1304515465
as012,/objects/as012.jpg,/objects/small/as012_sm.jpg,/objects/thumbs/as012_th.jpg,item,Agroecologiá Altoandina: Realidad y Posibilidades,"Herz Zacarías, Carlos Aarón ",Andean Studies,9786124121364,spa,"CBC, Centro Bartolomé de las Casas",Peru,2021,1,Ecological / Agricultural,,https://www.worldcat.org/title/1303286565
as013,/objects/as013.jpg,/objects/small/as013_sm.jpg,/objects/thumbs/as013_th.jpg,item,Guía basica de prácticas agroecológicas para pisos andinos de 2000 a 4000 msnm,"Kolmans, Enrique; Silva, Allesandra; Huamán, Anthony",Andean Studies,978-612-4121-49-4,spa,Centro de Estudios Regionales Andinos Bartolomé de Las Casas,Peru,2022,1,Ecological / Agricultural,,
as014,/objects/as014.jpg,/objects/small/as014_sm.jpg,/objects/thumbs/as014_th.jpg,item,Acting Inca: National Belonging in Early Twentieth-Century Bolivia,"Kuenzli, E. Gabrielle",Andean Studies,978-0-8229-6232-8,eng,University of Pittsburgh Press,United States,2013,1,Political Science -- Bolivia,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph007609511,https://worldcat.org/en/title/828776013
as015,/objects/as015.jpg,/objects/small/as015_sm.jpg,/objects/thumbs/as015_th.jpg,item,The Corner of the Living: Ayacucho on the Eve of the Shining Path Insurgency,"La Serna, Miguel",Andean Studies,978-0-8078-3547-0,eng,University of North Carolina Press,United States,2012,1,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004286969,https://worldcat.org/en/title/772844957
as016,/objects/as016.jpg,/objects/small/as016_sm.jpg,/objects/thumbs/as016_th.jpg,item,Qhapaq Ñan: The Inka Path of Wisdom,"Lajo, Javier ",Andean Studies,,eng,Amaro Runa Ediciones,Peru,2006,2,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000480697,https://www.worldcat.org/title/85888948
as017,/objects/as017.jpg,/objects/small/as017_sm.jpg,/objects/thumbs/as017_th.jpg,item,"El Alto, Rebel City: Self and Citizenship in Andean Bolivia","Lazar, Sian",Andean Studies,9780822388760,eng,Duke University Press,"Durham + London, United States; United Kingdom",2008,1,History -- Bolivia,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph004492793,https://www.worldcat.org/title/191855691
as018,/objects/as018.jpg,/objects/small/as018_sm.jpg,/objects/thumbs/as018_th.jpg,item,El Peru y La Cultura Occidental,"Lizarraga, Jesus Veliz",Andean Studies,,spa,Instituto de Investigaciones Sociales del Perú,Peru,1993,2,Anthropology -- Peru,,https://www.worldcat.org/title/7657327
as019,/objects/as019.jpg,/objects/small/as019_sm.jpg,/objects/thumbs/as019_th.jpg,item,"On the Wings of Time: Rome, the Incas, Spain, and Peru","MacCormack, Sabine",Andean Studies,978-0-691-14095-7,eng,Princeton University Press,United States,2009,1,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph005828526,https://www.worldcat.org/title/1273307460
as020,/objects/as020.jpg,/objects/small/as020_sm.jpg,/objects/thumbs/as020_th.jpg,item,Walaycho Qorilazo: Memoria Oral Quechua en Los Andes,"Molina Almanza, Mario
",Andean Studies,978-612-4297-25-0,"spa,que",Pakarina Ediciones,Peru,2017,1,History -- Peru,,https://www.worldcat.org/title/1023512728
as021,/objects/as021.jpg,/objects/small/as021_sm.jpg,/objects/thumbs/as021_th.jpg,item,Dinámica politico-económica de los países andinos,"Murakami, Yusuke, ed. ",Andean Studies,978-9972-51-336-7,spa,"Center for Integrated Area Studies, Kyoto University",Japan,2012,34,Political science -- Peru,,https://www.worldcat.org/title/905604647
as022,/objects/as022.jpg,/objects/small/as022_sm.jpg,/objects/thumbs/as022_th.jpg,item,La actualidad política de los países andinos centrales en el gobierno de izquierda,"Murakami, Yusuke, ed. ",Andean Studies,978-9972-51-472-2,spa,"Center for Integrated Area Studies, Kyoto University",Japan,2014,39,Political science -- Peru,,https://www.worldcat.org/title/904253572
as023,/objects/as023.jpg,/objects/small/as023_sm.jpg,/objects/thumbs/as023_th.jpg,item,Creadores de la profundidad: Orígenes del movimiento obrero en las minas de los Andes peruanos (1928-1930),"Pajuelo Teves, Ramón",Andean Studies,978-612-4121-52-4,spa,"CBC, Centro Bartolomé de las Casas ",Peru,2022,1,History -- Peru,,
as024,/objects/as024.jpg,/objects/small/as024_sm.jpg,/objects/thumbs/as024_th.jpg,item,"Por la concordia, la fusión y el unitarismo: Estado y caudillismo en Bolivia (1852-1880)","Peralta Ruiz, Víctor; Irurozqui Victoriano, Marta",Andean Studies,84-00-07868-3,spa,Consejo Superior de Investigaciones Cientificas,Spain,2000,1,History -- Bolivia,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph001720216,https://www.worldcat.org/title/45345494
as025,/objects/as025.jpg,/objects/small/as025_sm.jpg,/objects/thumbs/as025_th.jpg,item,The Disappearing Mestizo: Configuring Difference in the Colonial New Kingdom of Granada,"Rappaport, Joanne",Andean Studies,978-0-8223-5629-5,eng,Duke University Press,United States,2014,1,"History -- Colombia,Pan-andean",https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph007523590,https://www.worldcat.org/title/847833686
as026,/objects/as026.png,/objects/small/as026_sm.png,/objects/thumbs/as026_th.png,item,Tawantinsuyu. Cinco Siglos de Guerra Qheswaymara Contra España.,"Reynaga Burgoa, Ramiro
",Andean Studies,968-429-178-7,"spa,que",Nueva Imagen,Mexico,1981,1,History -- Peru,,https://worldcat.org/en/title/8545711
as027,/objects/as027.jpg,/objects/small/as027_sm.jpg,/objects/thumbs/as027_th.jpg,item,Historia De Tahuantinsuyu,"Rostworowski De Diez Canesco, Maria",Andean Studies,9789972510298,spa,Camara Peruana Del Libro,Peru,2004,1,History -- Precolombian Peru,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph005014327,https://worldcat.org/en/title/45023268
as028,/objects/as028.png,/objects/small/as028_sm.png,/objects/thumbs/as028_th.png,item,Conversando nos entendemos: métodos de la investigación-acción Participative apara transformar y reencantar la realidad,"Salas, María Angélica; Tillmann, Timmi
",Andean Studies,9786124121449,spa,"CBC, Centro Bartolomé de Las Casas",Peru,2022,1,Indigenous Politcs,,https://www.worldcat.org/title/1366106780
as029,/objects/as029.jpg,/objects/small/as029_sm.jpg,/objects/thumbs/as029_th.jpg,item,"Between Reform and Revolution: Political Struggles in the Peruvian Andes, 1969-1991 ","Seligmann, Linda J.",Andean Studies,9780804724432,eng,Stanford University Press,United States,1995,1,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph001282116,https://www.worldcat.org/title/31077550
as030,/objects/as030.png,/objects/small/as030_sm.png,/objects/thumbs/as030_th.png,item,Hasta Cuando Tu Silencio?: Testimonios De Dolor Y Coraje,"Soto Quispe, Heeder
",Andean Studies,9786034512306,spa,"Asociacion Nacional De Familiares De Secuestrados, Detenidos y Desaparecidos del Perú ",Peru,2007,1,History -- Peru,,https://worldcat.org/en/title/268676507
as031,/objects/as031.jpg,/objects/small/as031_sm.jpg,/objects/thumbs/as031_th.jpg,item,"Evo Morales, De La Coca Al Palacio: Una Opportunidad Para La Izquierda Indígena","Stefanoni, Pablo.",Andean Studies,99954-0-005-7,spa,Malatesta,Bolivia,2006,1,"Bolivia,Political Science -- Bolivia",https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000424637,https://worldcat.org/en/title/76880131
as032,/objects/as032.jpg,/objects/small/as032_sm.jpg,/objects/thumbs/as032_th.jpg,item,Peru's Indian Peoples and the Challenge of Spanish Conquest: Huamanga to 1640,"Stern, Steve J.",Andean Studies,0-299-08900-2,eng,University of Wisconsin Press,United States,1982,1,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph008389679,https://worldcat.org/en/title/564915452
as033,/objects/as033.jpg,/objects/small/as033_sm.jpg,/objects/thumbs/as033_th.jpg,item,"Research Guide to Andean History: Bolivia, Chile, Ecuador, and Peru","TePaske, John J.",Andean Studies,9780822304500,"eng,spa",Duke University Press,United States,1982,1,"Pan-andean,Research Guide",https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph002613897,https://worldcat.org/en/title/7178404
as034,/objects/as034.jpg,/objects/small/as034_sm.jpg,/objects/thumbs/as034_th.jpg,item,"Andean Lives: Gregorio Condori Mamani and Asunta Quispe Huamán
","Valderrama Fernández, Ricardo; Escalante Guitérrez, Carmen ",Andean Studies,0-292-72491-8,eng,University of Texas Press,United States,1996,1,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph008135490,https://worldcat.org/en/title/32778860
as035,/objects/as035.jpg,/objects/small/as035_sm.jpg,/objects/thumbs/as035_th.jpg,item,"Los Virajes del Quipu: Pensamiento Utópico, (De)construcción de Nación y Resistencia en el Mundo Andino","Valdivia Baselli, Alberto ",Andean Studies,"978-9972-46-647-2
",spa,Fondo Editorial,Peru,2018,1,Stories,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph007361149,https://worldcat.org/en/title/1098241680
as036,/objects/as036.jpg,/objects/small/as036_sm.jpg,/objects/thumbs/as036_th.jpg,item,"La ""Consulta Previa"" en opinión de los pueblos Indígenas ",Various,Andean Studies,,spa,Consejo Nacional de Ayllus y Markas del Qullasuyu,Boliva,2013,1,Indigenous Politcs,,
as037,/objects/as037.jpg,/objects/small/as037_sm.jpg,/objects/thumbs/as037_th.jpg,item,De Túpac Amaru a Gamarra : Cusco y la formación del Perú Republicano,"Walker, Charles",Andean Studies,9786124121418,spa,Centro de Estudios Regionales Andinos Bartolomé de Las Casas,Peru,2021,4,History -- Peru,,https://worldcat.org/en/title/1313579186
dic001,/objects/dic001.jpg,/objects/small/dic001_sm.jpg,/objects/thumbs/dic001_th.jpg,item,Simi Taqe Qheswa - Español - Qheswa,Gobierno Regional Cusco,Dictionaries,,"spa,que",Gobierno Regional Cusco,Peru,2006,2,Dictionary,,https://worldcat.org/en/title/845761072
dic002,/objects/dic002.jpg,/objects/small/dic002_sm.jpg,/objects/thumbs/dic002_th.jpg,item,Vocabulario de la Lengua Qquichua,"Goncalez Holguin, Diego ",Dictionaries,,"spa,que",Universidad Nacional Major de San Marcos,Peru,1952,1,Dictionary,,https://worldcat.org/en/title/1105318591
dic003,/objects/dic003.jpg,/objects/small/dic003_sm.jpg,/objects/thumbs/dic003_th.jpg,item,"
Quechua-Spanish-English Dictionary: A Hippocrene Trilingual Reference","Gonzales, Odi; Janney, Christine Mladic; Thompson, Emily Fjaellen",Dictionaries,9780781813549,"spa,que,eng",Hippocrene Books,United States,2018,1,Dictionary,,https://worldcat.org/en/title/992433705
dic004,/objects/dic004.jpg,/objects/small/dic004_sm.jpg,/objects/thumbs/dic004_th.jpg,item,Diccionario Quechua - Castellano,"Lira, Jorge A.; Mejía Huamán, Mario ",Dictionaries,978-9972-236-70-9,"que,spa","Universidad Ricardo Palma, Editorial Universitaria",Peru,2008,1,Dictionary,,https://worldcat.org/en/title/318613445
dic005,/objects/dic005.jpg,/objects/small/dic005_sm.jpg,/objects/thumbs/dic005_th.jpg,item,Diccionario Quechua - Español - Quechua,Millenium Editora Global,Dictionaries,,"spa,que",Millenium Editora Global,Peru,2009,1,Dictionary,,https://worldcat.org/en/title/670103285
